,Reviews
0,Ai sala o naki nayok bara ai video na dekle jantei partam na
1,valo service pacchi
2,oshadharon ar valo maaner jinis
3,Ekta o sundor na 
4,bag er man khub i baje
5,quality mutamuti ei daam e
6,"product thik ache. tobe packaging ta better kora dorkar. darazer kono box chilona,nd no bubble wrapped"
7,Faltu bayadop osobvo nillojjo
8,daraz er delivery shobsomoy e oshadharon
9,olpo dam e valo ekta choice hote pare eti
10,ami folafol er sathe motamuti shontushto
11,mojadar ebong shundor ghran
12,valo mulle valo ponno pawa jay
13,valo but size ta ektu choto
14,packet chera
15,nokol bodysoray mone hocche
16,battery noshto
17,get another brand product review valo dekhe order diyeo emon obostha jemon price er e product hok same ta deya uchit
18,First time daraz theke product newa Experience ta baje chilo bolte gele Product er sathe jei remote chilo kaj kre nh Light start korar jonno phone e remote app namite hoise r light hotat hotat off hoeye jay Daraz er jonno better expectations chilo but tara ta rakhte pare nai
19,jonogon ke bivranto kora hocche
20,daam kom kintu jinis ta akebare valo.aro duita order korlam
21,ashol ponno sera mulle
22,wallet tir sobkichui amr valo legeche
23,packaging aro valo korte hobe
24,kaporer nicher dike ekta futo ache
25,200 tk r panjabi 300 tk Tao abr discount
26,Bokachoa glass keo kinbo o na
27,"Such an amazing poduct compared to the price, I'm really very grateful for the seller and daraz team! 
also the impact of this product is very amazing! def gonna suggest this"
28,gun ekti bepar nimno maaner product
29,ami jemon ta cheyechilam product ta temon na
30,bhul product delivery o late
31,khub i kharap ponno light kaj kore na
32,ekta te ektu prblm ase ekta kan a baje R ektai baje na
33,valo maner
34,ami eta valobashi
35,etra kon dhoroner cheatery
36,Fresh silo.... Thanks seller
37,ulto hoyrani r shikar hote hoy
38,Manus er ex r koto khaiba vhaiya
39,shotti bolte headphone ta darun.jekew eta kinte paren.4 mash porew onek valo sound output dicche
40,nosto chilo
41,"toirir dhoron ar packaging onek valo.ami jei rong cheyechilam tamon e peyechi,nite paren"
42,"onk sundor amr kase onk vlo lagche apnaro nite paren colour ta joss i like it
thank you Daraz"
43,Biker vab loia cng dia jaitase..sullu polapan
44,Purai 2number
45,product ta vlo silo .bt aktu vanga silo.sob milaiye motamoti cole
46,broken product and remote not working... just cheap shop... Just wasting time and money
47,Torar video dekhle ujo nosto hoia jay re mone mone tore boka boki korte korte
48,shundor sound
49,khub valo...seller k dhonnoba... packaging ta o valo cilo....tnx...
50,Kaj kam nay photo upload sara
51,"Maky voice Kolkata k follow kore try kore jacche ktha blr,or original voice to emn na"
52,"Ami use kore upokrito hoyechi,,,good products. sathe ekta lipjel free peyechilam setao valo.cailei nite paren very very good products. l am satisfied. kotha diyechilam fool valo hole 5 ★ dibo,dilam.nice chilo cirkut ta. thanks selar vai and daraz ke, .."
53,rafsan er girlfriend takeu khaiya dila
54,manush thokanor dhanda
55,nokia shorboda valo maaner phone toiri korche
